t,stateNorm,reflexNorm,det_g_min,pullback_mean,C_max,collapsed,section_law_ok
0,0.9999999999989497,1.0433263954224898,0.8264002681436299,2.001657449961231,3.7786251545717944,0,1
1,0.999999999998961,0.983897813221573,0.8272994526023001,2.0015982249443645,3.7414059207857107,0,1
2,0.9999999999989716,0.9245491360740034,0.8274155097858382,2.0015601989402945,3.6881453212894266,0,1
3,0.9999999999989818,0.8658925433363164,0.8255627095603034,2.001491185691782,3.6288904645363,0,1
4,0.9999999999989921,0.8085357951240105,0.8262579942029075,2.001456103119501,3.7565617179509974,0,1
5,0.999999999999001,0.7530385889802554,0.8243823336243009,2.001451154696898,3.860098596723381,0,1
6,0.9999999999990099,0.6998849209492214,0.8233357236810573,2.001400907137451,3.9416269429781923,0,1
7,0.9999999999990177,0.6494546419040874,0.8267400224848123,2.001345166934069,4.003706690621112,0,1
8,0.9999999999990248,0.6020193341453434,0.829897454547269,2.0012757695525893,4.048948171407725,0,1
9,0.9999999999990314,0.557741825815578,0.8297381585187723,2.001280695111004,4.0798819534243975,0,1
10,0.9999999999990375,0.5166805051037262,0.8292476723225132,2.001273985066263,4.09902272995029,0,1
11,0.9999999999990427,0.47881190352853975,0.8289202393507875,2.001154271290993,4.108649124952815,0,1
12,0.9999999999990475,0.44404169294722234,0.8265533849421559,2.0010851536968564,4.110353913198138,0,1
13,0.9999999999990511,0.41223078518287465,0.8282151159731275,2.0011064896605792,4.105417207781407,0,1
14,0.999999999999055,0.3832063314230234,0.8256030702941077,2.0010155607804943,4.09499648140166,0,1
15,0.9999999999990582,0.35677721174994526,0.8262114594420965,2.000922740198487,4.079942893441914,0,1
16,0.999999999999061,0.33274464885686594,0.8252610874349272,2.000893129348866,4.061053043218192,0,1
17,0.9999999999990635,0.31091303457138025,0.8221817388451584,2.000870479237524,4.038870264099133,0,1
18,0.9999999999990655,0.2910905374899604,0.8232806150044958,2.000763149337444,4.014101461570827,0,1
19,0.9999999999990675,0.27309338978805026,0.8234180011354034,2.000789377431112,3.9871157838659395,0,1
20,0.9999999999990693,0.2567520832524203,0.8227390905570912,2.0007682966398517,3.9579339034914063,0,1
21,0.9999999999990704,0.24190781758794463,0.8204241870435531,2.0007069848567194,3.9273075905298303,0,1
22,0.9999999999990721,0.22841591886056997,0.8211304905717903,2.0007761389551857,3.8953996979018983,0,1
23,0.9999999999990735,0.21614472615445232,0.8212127072448075,2.000640382447713,3.8623406055256,0,1
24,0.9999999999990741,0.20497286483374952,0.8220693896481776,2.0005282432429508,3.828177903272672,0,1
25,0.9999999999990757,0.1947916819833945,0.815525119193589,2.000491889986593,3.7932992282325957,0,1
26,0.9999999999990763,0.18550053943918673,0.8179085345911534,2.000456459460082,3.757702109063681,0,1
27,0.9999999999990771,0.17701012299307511,0.8175028900515521,2.0004757163082583,3.7213263368995837,0,1
28,0.9999999999990782,0.1692404763350276,0.8182516747670793,2.0003667732799384,3.6843970712412353,0,1
29,0.9999999999990788,0.16211910542673205,0.8207453245896305,2.0002594159372493,3.6470875972226424,0,1
30,0.9999999999990788,0.15558116251894516,0.8221840512773635,2.000188786652658,3.609040460093975,0,1
31,0.9999999999990798,0.14956748271840495,0.8216964244857422,2.0001549791853868,3.570446677475681,0,1
